# Matter power spectrum P(k) at redshift z=0
# for k=0.000211077 to 1.07544 h/Mpc,
# number of wavenumbers equal to 523
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.951628969966e-01       1.071618550139e+03 
       1.983690340540e-01       1.042913461973e+03 
       2.015751748967e-01       1.012131136273e+03 
       2.047813193450e-01       9.798680718084e+02 
       2.079874672305e-01       9.468776846068e+02 
       2.111936183952e-01       9.139875430381e+02 
       2.143997726909e-01       8.820027262176e+02 
       2.176059299781e-01       8.515577024445e+02 
       2.208120901255e-01       8.231941196481e+02 
       2.240182530093e-01       7.972582453330e+02 
       2.272244185130e-01       7.739153641835e+02 
       2.304305865264e-01       7.531670973709e+02 
       2.336367569454e-01       7.348703067194e+02 
       2.368429296718e-01       7.187232590251e+02 
       2.400491046125e-01       7.042977901821e+02 
       2.432552816792e-01       6.911559998903e+02 
       2.464614607886e-01       6.787559700621e+02 
       2.496676418615e-01       6.666477664042e+02 
       2.528738248226e-01       6.544454250006e+02 
       2.560800096006e-01       6.418732559114e+02 
       2.592861961277e-01       6.287744209990e+02 
       2.624923843394e-01       6.150772550793e+02 
       2.656985741744e-01       6.008373103505e+02 
       2.689047655743e-01       5.861661719972e+02 
       2.721109584833e-01       5.712646762417e+02 
       2.753171528486e-01       5.563588182499e+02 
       2.785233486195e-01       5.417137814242e+02 
       2.817295457478e-01       5.275665461905e+02 
       2.849357441873e-01       5.141306017651e+02 
       2.881419438941e-01       5.015460097820e+02 
       2.913481448261e-01       4.898887107831e+02 
       2.945543469431e-01       4.791553282500e+02 
       2.977605502066e-01       4.692935906413e+02 
       3.009667545797e-01       4.601987486365e+02 
       3.041729600273e-01       4.517465252553e+02 
       3.073791665154e-01       4.437930995340e+02 
       3.105853740117e-01       4.361919589226e+02 
       3.137915824852e-01       4.288090888921e+02 
       3.169977919060e-01       4.215102932100e+02 
       3.202040022456e-01       4.142006680188e+02 
       3.234102134764e-01       4.067996977989e+02 
       3.266164255721e-01       3.992684634349e+02 
       3.298226385075e-01       3.916193132752e+02 
       3.330288522580e-01       3.838935449389e+02 
       3.362350668003e-01       3.761485144837e+02 
       3.394412821118e-01       3.684556055019e+02 
       3.426474981708e-01       3.608873442443e+02 
       3.458537149565e-01       3.535034275705e+02 
       3.490599324488e-01       3.463680761406e+02 
       3.522661506282e-01       3.395172185440e+02 
       3.554723694760e-01       3.329893290595e+02 
       3.586785889744e-01       3.267995932216e+02 
       3.618848091058e-01       3.209461477009e+02 
       3.650910298536e-01       3.154027367384e+02 
       3.682972512016e-01       3.101397660423e+02 
       3.715034731342e-01       3.050998300837e+02 
       3.747096956363e-01       3.002310453881e+02 
       3.779159186933e-01       2.954870881523e+02 
       3.811221422912e-01       2.908265711713e+02 
       3.843283664165e-01       2.862170233432e+02 
       3.875345910558e-01       2.816425898606e+02 
       3.907408161967e-01       2.770914951987e+02 
       3.939470418267e-01       2.725561174577e+02 
       3.971532679339e-01       2.680401892437e+02 
       4.003594945069e-01       2.635516933448e+02 
       4.035657215345e-01       2.591054562954e+02 
       4.067719490060e-01       2.547204778363e+02 
       4.099781769107e-01       2.504216525509e+02 
       4.131844052387e-01       2.462307627742e+02 
       4.163906339802e-01       2.421560558156e+02 
       4.195968631255e-01       2.382107206996e+02 
       4.228030926655e-01       2.343948331615e+02 
       4.260093225913e-01       2.307095779584e+02 
       4.292155528941e-01       2.271444833334e+02 
       4.324217835656e-01       2.236973119148e+02 
       4.356280145975e-01       2.203602933695e+02 
       4.388342459820e-01       2.171169873762e+02 
       4.420404777113e-01       2.139678192954e+02 
       4.452467097780e-01       2.108914934446e+02 
       4.484529421748e-01       2.078676880652e+02 
       4.516591748946e-01       2.048910027965e+02 
       4.548654079307e-01       2.019546857270e+02 
       4.580716412762e-01       1.990511581318e+02 
       4.612778749249e-01       1.961773046214e+02 
       4.644841088703e-01       1.933374752752e+02 
       4.676903431063e-01       1.905320288732e+02 
       4.708965776270e-01       1.877680837194e+02 
       4.741028124266e-01       1.850446779318e+02 
       4.773090474994e-01       1.823724765359e+02 
       4.805152828400e-01       1.797460128843e+02 
       4.837215184430e-01       1.771784855089e+02 
       4.869277543033e-01       1.746730338292e+02 
       4.901339904156e-01       1.722342340018e+02 
       4.933402267752e-01       1.698623273852e+02 
       4.965464633772e-01       1.675511903401e+02 
       5.169892805396e-01       1.539756576315e+02 
       5.391661475221e-01       1.407523238793e+02 
       5.634700813479e-01       1.279428178255e+02 
       5.904523897198e-01       1.156925273009e+02 
       6.209171167289e-01       1.036638761508e+02 
       6.560940568843e-01       9.188911855835e+01 
       6.979778960953e-01       8.015124639198e+01 
       7.500462164741e-01       6.830605929938e+01 
       8.189016415630e-01       5.609042903560e+01 
       9.181483405161e-01       4.327513137194e+01 
       1.075440869953e+00       3.009144455396e+01 
